sequence_id,"Hugenholtz prokMSA_id","Hugenholtz Simrank id","Hugenholtz DNAML id","Hugenholtz DNAML columns","Hugenholtz tax string"
Amb_16S_435,73256,97.66,0.985357,1178,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia_sp; Unclassified; otu_2199"
Amb_16S_436,177889,71.04,0.924313,1171,"Hugenholtz:Bacteria; Bacteroidetes; Flexibacterales; Dyadobacter; otu_694"
Amb_16S_437,207633,99.77,0.999993,1192,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_438,110786,92.14,0.990691,1192,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-2; Ellin5121; otu_188"
Amb_16S_439,214343,83.06,0.944893,1189,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Amb_16S_440,204511,79.31,0.958832,1183,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Xanthomonadales; KD8-72; otu_2520"
Amb_16S_442,207045,100,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_443,47141,82.75,0.976854,1188,"Hugenholtz:Bacteria; Verrucomicrobia; Opitutae; Opitutaceae; otu_2823"
Amb_16S_444,212069,71.17,0.900404,1168,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Unclassified; otu_227"
Amb_16S_445,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_446,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_447,141260,69.02,0.921827,937,"Hugenholtz:Bacteria; Bacteroidetes; Flavobacteriales; Sporocytophaga; Unclassified; otu_674"
Amb_16S_448,213135,77.85,0.941841,1194,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_449,101884,68.04,0.887032,1148,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; MND1; Unclassified; otu_2278"
Amb_16S_450,208334,99.61,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_451,144818,85.83,0.974398,1191,"Hugenholtz:Bacteria; Bacteroidetes; Flavobacteriales; Sporocytophaga; Unclassified; otu_674"
Amb_16S_452,76453,82.48,0.936928,1130,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_453,210501,100,0.999993,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_454,207045,100,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_455,156736,57.85,0.864359,1190,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Unclassified; otu_227"
Amb_16S_456,146305,71.88,0.925941,1183,"Hugenholtz:Bacteria; Gemmatimonadetes; Gemmatimonadetes; Gemmatimonadales; N1423WL; otu_1664"
Amb_16S_457,209133,100,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_458,209133,100,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_459,113744,66.93,0.912976,1181,"Hugenholtz:Bacteria; Gemmatimonadetes; Gemmatimonadetes; Gemmatimonadales; N1423WL; otu_1664"
Amb_16S_460,209489,60.22,0.905171,1193,"Hugenholtz:Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Polyangiaceae; Unclassified; otu_2624"
Amb_16S_461,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_462,206962,100,0.999993,1195,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_463,204192,51.45,0.83638,1173,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; A21b; Unclassified; otu_2178"
Amb_16S_464,214497,61.21,0.885739,1140,"Hugenholtz:Bacteria; Planctomycetes; Planctomycetacia; Gemmatales; Unclassified; otu_1809"
Amb_16S_465,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_466,207045,100,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_467,204862,87.21,0.974311,1195,"Hugenholtz:Bacteria; Actinobacteria; Rubrobacteridae; MC47; otu_371"
Amb_16S_468,208463,59.05,0.859606,1055,"Hugenholtz:Bacteria; Bacteroidetes; Flexibacterales; PHOS-HE21; C0108; UNNAMEABLE_1178613742; otu_700"
Amb_16S_469,206908,100,0.999993,1192,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_470,215680,86,0.976505,1174,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_471,217034,72.47,0.940867,1194,"Hugenholtz:Bacteria; Actinobacteria; Acidimicrobidae; a13110; otu_239"
Amb_16S_472,211036,70.54,0.908848,1183,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Ellin339; Unclassified; otu_2331"
Amb_16S_473,207633,99.77,0.999993,1192,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_474,101884,68.04,0.887032,1148,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; MND1; Unclassified; otu_2278"
Amb_16S_475,210710,75.88,0.950794,1190,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Amb_16S_476,82263,56.22,0.891872,1190,"Hugenholtz:Bacteria; Verrucomicrobia; Verruco-3; Unclassified; otu_2829"
Amb_16S_477,208656,99.53,0.99915,1189,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_478,101884,67.95,0.885957,1148,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; MND1; Unclassified; otu_2278"
Amb_16S_479,50024,90.81,0.988293,1128,"Hugenholtz:Bacteria; Gemmatimonadetes; Gemmatimonadetes; Gemm-1b; Unclassified; otu_1656"
Amb_16S_480,213135,77.54,0.940911,1194,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_481,207633,99.47,0.992319,1188,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_482,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_484,155506,72.71,0.924749,1188,"Hugenholtz:Bacteria; Proteobacteria; Deltaproteobacteria; EB1021; FW136; RCP2-54; RCP2-62; otu_2608"
Amb_16S_485,208272,99.76,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_486,208272,99.76,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_487,128192,77.92,0.955692,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Unclassified; otu_1966"
Amb_16S_488,155549,65.15,0.90161,1191,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; Burkholderiales; bacterium_Ellin6067; AKYH1344; otu_2193"
Amb_16S_489,213681,99.45,0.99915,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_490,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_491,154995,80.28,0.969878,1189,"Hugenholtz:Bacteria; Verrucomicrobia; Spartobacteria; Unclassified; otu_2826"
Amb_16S_492,211775,84.17,0.976912,1193,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_493,207633,99.62,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_494,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_495,159597,82.98,0.97168,1191,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; MND1; LO131; otu_2279"
Amb_16S_496,112822,72.04,0.90068,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Unclassified; otu_1966"
Amb_16S_498,206962,100,0.999993,1195,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_500,203847,60.42,0.840232,1188,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Unclassified; otu_261"
Amb_16S_501,209133,100,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_502,210501,100,0.999993,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_503,40101,53.29,0.856002,1191,"Hugenholtz:Bacteria; Bacteroidetes; Flexibacterales; Spirosomaceae; otu_703"
Amb_16S_504,213820,85.02,0.978569,1191,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Amb_16S_505,204312,56.36,0.868908,1185,"Hugenholtz:Bacteria; Actinobacteria; Acidimicrobidae; EB1017_group; Unclassified; otu_250"
Amb_16S_506,110786,91.59,0.990676,1190,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-2; Ellin5121; otu_188"
Amb_16S_507,134512,73.83,0.947989,1187,"Hugenholtz:Bacteria; Acidobacteria; CCU21; otu_217"
Amb_16S_512,143353,76.5,0.944181,1181,"Hugenholtz:Bacteria; Bacteroidetes; Saprospirales; Unclassified; otu_726"
Amb_16S_514,44346,64.97,0.911145,1122,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_515,101876,74.74,0.945155,1185,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Unclassified; otu_1889"
Amb_16S_516,141653,66.08,0.904793,1195,"Hugenholtz:Bacteria; Acidobacteria; iii1-8; Unclassified; otu_220"
Amb_16S_517,210501,99.05,0.99915,1185,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_519,136792,69.51,0.929443,1189,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_520,203626,77.13,0.944748,1193,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Ellin329; bacterium_Ellin332; otu_2013"
Amb_16S_521,209133,100,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_522,215680,99.37,0.99915,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_523,212331,75.72,0.940315,1182,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; A21b; Unclassified; otu_2178"
Amb_16S_524,106868,80.19,0.944792,1177,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Unclassified; otu_1966"
Amb_16S_525,20285,97.21,0.996606,1189,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Streptomycineae; otu_345"
Amb_16S_526,213681,99.45,0.99915,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_527,213482,88.94,0.982973,1194,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_528,209508,76.4,0.955707,1193,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Ellin329; Unclassified; otu_2012"
Amb_16S_529,208183,99.76,0.99915,1183,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_530,210501,100,0.999993,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_531,168747,68.32,0.920723,1128,"Hugenholtz:Bacteria; TM7; TM7-1; Unclassified; otu_2810"
Amb_16S_532,204110,56.89,0.842238,1175,"Hugenholtz:Bacteria; OD2; SM2F11; KNA6-NB23; Elev_16S_1084; Elev_16S_1619; otu_1732"
Amb_16S_533,207045,100,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_534,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_538,204403,99.09,0.998307,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_539,206098,63.46,0.881771,1193,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_540,143315,60.14,0.869242,1181,"Hugenholtz:Bacteria; Gemmatimonadetes; Gemmatimonadetes; Gemmatimonadales; N1423WL; otu_1664"
Amb_16S_541,209943,80.53,0.940475,1190,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Amb_16S_542,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_543,59726,89.81,0.973322,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas; Unclassified; otu_2204"
Amb_16S_544,84768,81.5,0.953788,1194,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Ellin339; Unclassified; otu_2331"
Amb_16S_545,206962,100,0.999993,1195,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_546,216229,99.62,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_547,34088,62.15,0.865202,1160,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Unclassified; otu_1966"
Amb_16S_548,211959,74.05,0.941347,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Unclassified; otu_1889"
Amb_16S_549,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_550,208272,99.61,0.999993,1187,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_551,60572,71.94,0.940722,1182,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Unclassified; otu_227"
Amb_16S_553,206392,89.85,0.981287,1193,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_554,210501,100,0.999993,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_555,203786,59.59,0.889227,1149,"Hugenholtz:Bacteria; Bacteroidetes; Saprospirales; Unclassified; otu_726"
Amb_16S_556,4617,68.42,0.912918,1194,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Hyphomicrobiaceae2; Unclassified; otu_1953"
Amb_16S_557,206962,100,0.999993,1195,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_558,215891,99.53,0.99915,1188,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_559,112195,59.89,0.852135,1180,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ephadobacter; Unclassified; otu_211"
Amb_16S_560,72535,88.84,0.969616,1185,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Sphingomonadales; AKAU3595; otu_2124"
Amb_16S_561,210345,100,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_562,206962,100,0.999993,1195,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_563,58104,76.92,0.939196,1192,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Ellin339; Unclassified; otu_2331"
Amb_16S_564,143315,90.98,0.989732,1184,"Hugenholtz:Bacteria; Gemmatimonadetes; Gemmatimonadetes; Gemmatimonadales; N1423WL; otu_1664"
Amb_16S_566,215615,72.31,0.904808,1189,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Kineosporiaceae; Unclassified; otu_313"
Amb_16S_568,216930,61.96,0.841961,1180,"Hugenholtz:Bacteria; OD2; SM2F11; KNA6-NB23; Elev_16S_1084; EV818EB5CPSAJJ44; otu_1733"
Amb_16S_570,206392,89.85,0.981287,1193,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_571,160433,60.65,0.891436,1184,"Hugenholtz:Bacteria; Chloroflexi; Ktedobacteria; Ktedobacterales; Unclassified; otu_894"
Amb_16S_572,114298,74.07,0.937946,1192,"Hugenholtz:Bacteria; Planctomycetes; WPS-1; Ellin6207; Planctomycetales; Planctomycetales_bacterium_Ellin6207; otu_1870"
Amb_16S_573,206448,99.6,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_574,207633,100,0.999993,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_575,205209,71.06,0.864141,1054,"Hugenholtz:Bacteria; OD2; SM2F11; KNA6-NB23; Elev_16S_1084; Elev_16S_1619; otu_1732"
Amb_16S_576,104976,95.54,0.977639,1187,"Hugenholtz:Bacteria; Verrucomicrobia; Spartobacteria; Unclassified; otu_2826"
Amb_16S_577,206962,98.99,0.999164,1195,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
